t,k,delta_cdm,delta_dot_cdm
10.520686710236228,0.001,9.218540371282207e+35,2.006042772270479e+34
10.716676480328633,0.001,9.257352199818522e+35,1.9583682346222502e+34
10.916317341936146,0.001,9.29594411506115e+35,1.9118026029824029e+34
11.119677311206988,0.001,9.334319681677781e+35,1.8663077313229576e+34
11.326825671361538,0.001,9.372482334675349e+35,1.8218471826549542e+34
11.53783299629661,0.001,9.41043511682911e+35,1.7783875545228205e+34
11.752771174629453,0.001,9.448180369788072e+35,1.7359000182628532e+34
11.971713434189656,0.001,9.485719373311546e+35,1.694362096626148e+34
12.19473436696737,0.001,9.523051926532997e+35,1.6537597067914233e+34
12.42190995452616,0.001,9.560175864537586e+35,1.6140894984377463e+34
12.653317593889415,0.001,9.597086502874451e+35,1.575361519429706e+34
12.889036123908916,0.001,9.633776866994804e+35,1.5375981265618367e+34
13.129145852124639,0.001,9.670261341090411e+35,1.500717456131985e+34
13.373728582124949,0.001,9.706545091837155e+35,1.4646725139139815e+34
13.622867641416454,0.001,9.7426239787172e+35,1.4294602145634085e+34
13.87664790981307,0.001,9.778494612743885e+35,1.3950751597231702e+34
14.135155848353943,0.001,9.814154371632963e+35,1.361509633756331e+34
14.398479528760065,0.001,9.849601407613992e+35,1.3287536241523755e+34
14.66670866343967,0.001,9.88483464656165e+35,1.2967948705689614e+34
