t,k,delta_fdm,delta_dot_fdm,scale_factor_a
63.037531530712755,0.01,0.002047051574921346,2.1650479126490535e-05,15.839183817646326
65.40805914998252,0.01,0.0020980532192343042,2.1385591651778706e-05,16.233824316122778
67.86773050723295,0.01,0.002150335496315139,2.11238033906549e-05,16.638297462848712
70.41989785449289,0.01,0.002203929443527486,2.0864876543422487e-05,17.05284824274577
73.06803950529499,0.01,0.0022588624802248746,2.0608984912130585e-05,17.477727744646806
75.8157645752211,0.01,0.0023151634746665373,2.0356263617257143e-05,17.91319331337761
78.66681790071581,0.01,0.00237286292712473,2.010680150518129e-05,18.35950870562785
81.6250851428722,0.01,0.002431993113626994,1.9860638688913985e-05,18.81694424970554
84.69459808314576,0.01,0.00249258821173854,1.9617765816525302e-05,19.285777009271992
87.8795401182131,0.01,0.0025546843969666373,1.937812572978964e-05,19.76629095115614
91.18425196146563,0.01,0.0026183198951964977,1.9141618337862045e-05,20.258777117350157
94.6132375589076,0.01,0.002683534972702663,1.8908109726484313e-05,20.763533801290354
98.17117022752184,0.01,0.0027503718405868897,1.867744675856915e-05,21.280866728530263
101.86289902446865,0.01,0.002818874444813627,1.8449478704410946e-05,21.81108924191518
105.69345535579873,0.01,0.002889088106159769,1.8224087777915664e-05,22.354522491370513
109.66805983368674,0.01,0.002961058966144681,1.8001230859354558e-05,22.911495628418713
113.79212939153139,0.01,0.0030348331850986086,1.778099516724291e-05,23.482346005542745
118.07128466661891,0.01,0.0031104590814887137,1.7563334823312638e-05,24.067419380516746
122.51135766041178,0.01,0.0031879815508823583,1.734806776376218e-05,24.667070125827713
127.11839968690276,0.01,0.003267440434564843,1.7135335416283762e-05,25.281661443314984
131.89868961986693,0.01,0.003348877706576924,1.692524538944046e-05,25.9115655841576
136.85874245025175,0.01,0.00343233771805731,1.6717866606764505e-05,26.557164074342733
142.00531816536818,0.01,0.0035178673984681665,1.6513227462703366e-05,27.218847945751772
147.34543096198342,0.01,0.0036055164280196896,1.631131549014434e-05,27.897017973004
152.88635880587293,0.01,0.003695337364067382,1.6112079108676286e-05,28.592084916201383
158.63565335085895,0.01,0.0037873856995187627,1.591543216144579e-05,29.304469769721415
164.60115023085496,0.01,0.0038817198255189566,1.572126211563455e-05,30.034604017208768
170.79097973894267,0.01,0.003978400863687157,1.5529443002564553e-05,30.78292989292018
177.21357790803583,0.01,0.00407749232471225,1.533985441451604e-05,31.549900649580856
183.8776980082327,0.01,0.0041790595399074535,1.5152408163920844e-05,32.33598083291466
190.7924224765265,0.01,0.004283168800041994,1.496708455537256e-05,33.141646563014305
197.96717529513325,0.01,0.0043898862218666665,1.4783976376169696e-05,33.967385822722065
205.41173483530642,0.01,0.00449928249098417,1.460295429983901e-05,34.81369875319559
213.13624718414374,0.01,0.004611419374092422,1.442395776818256e-05,35.681097956837874
221.15123997254886,0.01,0.0047263549612006645,1.4247098258834148e-05,36.5701088077749
229.4676367231936,0.01,0.004844150532009508,1.4072456743623298e-05,37.48126977006892
238.0967717380358,0.01,0.004964870859628035,1.3900081504981301e-05,38.41513272386021
