t,k,delta_cdm,delta_dot_cdm,scale_factor_a
70095.70091165617,0.01,0.21969764884868878,2.0895831505294663e-06,1700.046975206716
72731.65113001455,0.01,0.22517260541474277,2.063992658879078e-06,1742.4044219952002
75466.72630843885,0.01,0.2307845360955465,2.038695112962755e-06,1785.8172239148093
78304.65404301183,0.01,0.23653638993657808,2.0137045425006368e-06,1830.3116756206111
81249.30210614047,0.01,0.2424312800125341,1.9890305348652513e-06,1875.9147269110106
84304.68371788967,0.01,0.24847249758205642,1.9646779867853054e-06,1922.653999050949
87474.96301554416,0.01,0.25466352433420836,1.940647020154677e-06,1970.5578015017982
90764.46072885356,0.01,0.2610080415517869,1.916933125454788e-06,2019.6551490680881
94177.6600686952,0.01,0.2675099346916581,1.893527611899269e-06,2069.975779471455
97719.21283717977,0.01,0.2741732914865565,1.8704184622249694e-06,2121.550171362447
101393.94576752896,0.01,0.281002391192445,1.8475917126868784e-06,2174.4095627811203
105206.86710236207,0.01,0.28800168202431947,1.8250335059781767e-06,2228.5859700775554
109163.17341936125,0.01,0.29517574312211026,1.802732997327722e-06,2284.11220730382
113268.25671361513,0.01,0.3025292265444106,1.780686332911188e-06,2341.0219060890745
117527.71174629427,0.01,0.3100667737841791,1.7589019655153476e-06,2399.3495360098805
121947.34366967357,0.01,0.3177933382406746,1.7373709468650262e-06,2459.1304254680404
126533.17593889404,0.01,0.32571346342571694,1.7160807418905915e-06,2520.400783088622
131291.45852124627,0.01,0.33383127237887067,1.6950442993658273e-06,2583.197719651124
136228.6764141644,0.01,0.34215111441072493,1.6742709376129593e-06,2647.5592705670624
141351.55848353927,0.01,0.3506775858485642,1.6537661001486448e-06,2713.5244189176046
146667.08663439655,0.01,0.35941554853915175,1.6335312335253457e-06,2781.133119065186
152182.50532643838,0.01,0.36837014457226,1.613563836735444e-06,2850.4263208534303
157905.33144741727,0.01,0.3775468052562482,1.5938577438168593e-06,2921.4459944100167
163843.36455779814,0.01,0.38695125184970114,1.5744037161124005e-06,2994.235155567522
170004.69752067147,0.01,0.3965894849124075,1.5551904384697507e-06,3068.837891917638
176397.72753140415,0.01,0.40646775836289567,1.5362060350894744e-06,3145.299389514537
183031.16756206093,0.01,0.41659253339254404,1.517440246399369e-06,3223.665960243568
189914.05823619317,0.01,0.4269704062574596,1.4988874390369245e-06,3303.9850698718533
197055.78015017963,0.01,0.4376080026129805,1.4805506576768555e-06,3386.3053667977806
204466.06665791135,0.01,0.4485121197787777,1.462434081551218e-06,3470.6767115168013
212155.0171362448,0.01,0.4596896927647384,1.444517895686131e-06,3557.150206821381
220133.11074930278,0.01,0.4711465735926298,1.4268111234834255e-06,3645.778228753398
228411.22073038208,0.01,0.4828888402885488,1.4093226215055033e-06,3736.614458327735
237000.62920093254,0.01,0.49492291276406514,1.3920580571665027e-06,3829.713914046275
245913.04254680415,0.01,0.5072555804258541,1.3750197679326775e-06,3925.1329852220033
255160.60737271814,0.01,0.5198940252002309,1.3582067494502514e-06,4022.9294661333897
264755.9270567064,0.01,0.532845837390568,1.3416148206114703e-06,4123.162591029746
274712.07892708085,0.01,0.5461190210831163,1.3252370252331551e-06,4225.893070008759
